20040824	NAME	WEIGHT	DESC	AAPO	YPD	Wort	RafA	Lova	HygB	GlyE	Calc	Caff	AntA	ActD	Alk-5g	Alk-15g	AraC	Arn	Ars	Ben	Bleo	Cis1	Cis4	CPTa	CPTc	Dox	Gal-5g	Gal-15g	H2O2	HU	Ida	IR	Lys	Mech	Mel	Min-5g	Min-15g	MMC	MMS	NaCl-5g	NaCl-15g	Nys-5g	Nys-15g	Oxa	SC	Sorb-5g	Sorb-15g	Thr	Tpt	TPZ	Trp	UVA	UVB	UVC
YDL215C	GDH2	1	nitrogen metabolism	-0.286	0.037	-0.138	-0.073	0.245	-0.025	0.029	-0.025	-0.118	0.086	-0.043	-0.097	-0.221	-0.03	-0.065	0.029	-0.079	-0.023	0.033	0.094	0.003	0.002	-0.021	-0.051	0.121	-0.386	-0.114	-0.216	-0.006	-0.352	-0.056	0.012	-0.068	0.061	-0.018	-0.168	-0.052	-0.02	-0.279	-0.279	0.055	-0.38	-0.201	-0.11	-0.38	-0.022	-0.04	-0.405	-0.096	-0.024	-0.028
YDR309C	GIC2	1	establishment of cell polarity (sensu Saccharomyces)*	0.257	0.104	-0.146	-0.078	-0.025	0.122	0.027	-0.163	0.001	0.082	-0.028	0.073	-0.009	0.154	0.061	0.156	-0.102	0.022	0.111	0.094	0.014	0.017	0.048	0.043	0.001	0.378	0.012	-0.105	-0.097	-0.19	-0.117	-0.021	-0.164	-0.035	0.071	0.131	0.164	0.169	-0.033	-0.118	0.036	-0.125	-0.224	-0.18	0.004	-0.121	-0.096	-0.161	0.228	-0.031	-0.03
YGL202W	ARO8	1	aromatic amino acid family metabolism	0.482	0.015	-0.277	0.011	0.054	0.098	0.031	0.005	0.148	0.005	0.122	0.056	-0.138	0.108	-0.061	0.006	0.218	-0.051	0.08	0.094	0.065	0.119	0	0.161	-0.072	0.424	0.021	-0.034	0.066	0.174	0.046	0.074	-0.426	-0.289	-0.029	0.066	0.073	0.03	0.276	0.074	0.111	0.215	-0.349	-0.615	0.199	-0.097	0.016	0.258	0.392	0.084	0.026
YIL092W	YIL092W	1	unknown function	-0.388	0.086	-0.232	-0.075	-0.066	0.339	0.448	0.558	0.385	0.579	-0.068	-0.039	-0.021	0.01	-0.021	0.101	-0.033	0.043	-0.125	0.094	-0.084	-0.017	-0.127	-0.006	0.014	-0.165	0.094	-0.152	-0.125	-0.02	0.101	-0.081	-0.577	-0.199	0.044	0.119	0.085	0.151	0.002	0.031	0.061	0.064	-0.456	-0.659	0.201	0.092	-0.155	-0.018	-0.132	-0.032	-0.08
YLR303W	MET17	1	methionine metabolism*	0.226	0.116	0.292	-0.137		0.108	-0.048	0.041	0.107	0.012	-0.042	0.168	-0.147	0.114	-0.138	0.093	-0.06	-0.002	-0.043	0.094	-0.018	0.039	-0.07	0.108	-0.037	0.591	0.05	-0.19	-0.134	0.106	0.082	-0.087	-1.326	-3.011	0.026	0.023	0.102	-0.253	0.014	-0.431	0.053	0.05	-0.345	-0.95	0.11	0.089	0.026	0.015	-0.042	-0.023	-0.191
YMR084W	YMR084W	1	unknown function	0.318	0.041	-0.159	-0.036	-0.033	0.104	0.044	-0.028	0.064	0.004	-0.012	0.11	0.136	0.109	0.01	0.002	-0.089	0.052	-0.025	0.094	-0.076	0.067	-0.072	-0.074	0.034	0.146	0.021	-0.112	0.038	-0.248	-0.058	-0.002	-0.015	0.007	-0.004	0.02	0.035	0.077	-0.037	-0.079	-0.005	-0.257	-0.056	-0.024	-0.213	-0.071	-0.09	-0.246	0.082	-0.025	-0.041
YNL086W	YNL086W	1	unknown function	-0.085	0.083	-0.17	-0.045	-0.05	0.065	0.12	-0.047	0.127	0.123	-0.175	0.173	0.26	0.085	-0.109	-0.023	0.051	-0.072	0.049	0.094	0.026	0.06	-0.127	0.11	0.005	-0.269	-0.01	-0.312	0.052	-0.097	0.016	-0.056	0.032	0.096	-0.098	-0.061	0.138	0.176	-0.263	-0.373	0.099	-0.183	-0.134	-0.073	-0.152	0.003	-0.066	-0.13	0.01	-0.005	-0.024
YNR034W	SOL1	1	tRNA processing	0.024	0.069	-0.144	-0.218	0.111	0.212	0.091	0.059	0.161	0.093	0.055	-0.061	-0.036	0.029	-0.05	0.006	-0.042	0.101	0.056	0.094	0.03	0.021	-0.031	-0.124	-0.007	0.262	0.123	-0.142	-0.064	-0.277	-0.042	-0.02	-0.078	0	0.124	-0.02	-0.167	-0.231	-0.157	-0.153	0.071	-0.235	-0.087	-0.097	-0.186	0.016	-0.009	-0.283	-0.091	-0.031	-0.022
YPR012W	YPR012W	1	unknown function	0.247	0.028	-0.028	-0.006	0.045	0.151	-0.01	-0.014	0.008	-0.024	0.06	-0.11	0.121	0.019	-0.001	-0.105	-0.161	0.093	-0.002	0.094	0.016	0.059	-0.016	-0.132	0.163	0.225	-0.059	-0.236	-0.05	-0.287	0.294	0.053	-0.121	0.008	0.03	-0.116	-0.145	-0.048	-0.284	-0.132	0.045	-0.323	-0.218	0.016	-0.377	0.094	0.023	-0.318	-0.081	-0.049	-0.074
YPR114W	YPR114W	1	unknown function	0.24	-0.027	-0.135	0.007	0.231	0.049	0.161	0.225	0.22	0.066	0.159	0.03	0.123	0.099	0.067	0.173	-0.035	0.064	-0.039	0.094	0.183	0.028	0.056	0.06	0.074	0.02	0.063	0.216	0.059	-0.101	-0.039	-0.065	-0.112	-0.085	0.077	0.001	-0.02	-0.023	0.087	0.182	0.073	-0.152	-0.158	0.039	-0.088	-0.041	-0.046	-0.188	-0.105	-0.026	-0.038
YDL138W	RGT2	1	signal transduction*	0.174	0.025	0.071	-0.035	0.039	0.139	-0.081	-0.105	0.077	-0.174	-0.012	-0.103	-0.004	0.11	-0.027	0.017	0.006	-0.022	0.096	0.095	0.225	-0.019	-0.072	-0.22	0.031	0.253	0.046	0.082	0.034	-0.173	-0.02	0.016	-0.021	-0.077	0.063	-0.219	-0.137	0.2	-0.138	0	0.04	-0.152	-0.067	0.153	-0.195	0	0.01	-0.197	0.133	0.029	0.039
YDL218W	YDL218W	1	unknown function	-0.297	0.019	-0.119	-0.085	-0.004	-0.024	-0.007	-0.007	-0.047	0.078	0.046	-0.172	0.012	-0.026	-0.04	0.1	-0.075	-0.004	0.048	0.095	0.032	-0.078	-0.085	-0.088	0.082	-0.198	-0.062	-0.041	-0.006	-0.214	0.04	0.002	-0.112	0.158	0.032	0.003	-0.08	-0.09	-0.195	-0.154	0.082	-0.255	-0.259	-0.127	-0.381	-0.07	-0.019	-0.374	-0.157	-0.006	0.031
YDR072C	IPT1	1	mannosyl diphosphorylinositol ceramide metabolism	-0.019	-0.016	0.129	-0.052	0.436	0.339	-0.303	0.202	0.05	-0.006	-0.131	0.104	0.162	0.03	0.105	-0.128	-0.138	-0.107	-0.039	0.095	0.026	0.089	0.09	-0.025	-0.143	0.287	-0.257	0.411	-0.075	-0.072	0.081	-0.399	0.171	0.126	0.105	-0.205	0.027	-0.263	0.189	0.201	-0.259	-0.057	0.025	0.151	-0.168	0.02	0.27	-0.061	-0.09	-0.02	-0.063
YDR123C	INO2	1	positive regulation of transcription from Pol II promoter*	-0.042	0.022	-0.103	-0.012	0.304	0.057	-0.2	-0.022	0.017	-0.025	-0.075	-0.154	-0.04	0.027	0.407	0.064	0.1	0.057	0.029	0.095	-0.041	0.004	0.044	-0.117	0.026	-0.083	-0.054	-0.038	0.045	-0.523	0.047	-0.059	-0.866	-2.593	0.044	-0.068	-0.18	0.007	-0.174	-0.058	0.068	-0.652	0.084	0.234	-0.258	-0.067	-0.153	-0.605	0.044	0.155	0.179
YGL158W	RCK1	1	protein amino acid phosphorylation*	-0.039	0.062	0.073	-0.087	-0.074	-0.114	-0.138	-0.272	-0.582	-0.096	-0.004	0.333	0.419	0.091	0.061	0.367	-0.021	0.007	0.01	0.095	-0.037	0.061	-0.045	0.108	0.143	0.139	-0.103	-0.317	0.054	-0.258	-0.014	-0.043	0.302	0.185	0.033	-0.288	0.356	0.354	-0.126	-0.146	0.073	-0.272	0.002	0.1	-0.285	0.106	0.056	-0.238	0.131	-0.006	-0.014
YGL209W	MIG2	1	regulation of transcription from Pol II promoter*	-0.096	0.029	-0.183	-0.012	-0.058	0.072	0.134	0.147	0.086	0.087	-0.009	-0.03	0.044	0.096	0.019	0.002	-0.055	0.026	0.027	0.095	0.073	-0.035	-0.095	0.077	0.077	0.168	-0.039	-0.059	0.092	-0.111	-0.008	-0.008	0.077	0.02	0.046	-0.139	-0.011	0.066	0.054	0.05	0.021	-0.1	-0.095	-0.082	-0.226	-0.05	0.025	-0.132	0.027	-0.01	0.005
YGR260W	TNA1	1	nicotinamide mononucleotide transport	-0.054	0.03	-0.104	-0.067	0.046	-0.024	-0.018	-0.008	-0.09	0.098	0.012	0.08	0.049	0.087	0.028	-0.037	0.172	-0.085	-0.056	0.095	0.008	0.062	-0.115	-0.143	0.181	-0.09	0.014	-0.043	-0.044	-0.559	0.076	-0.007	-0.266	-0.057	-0.071	0.121	0.045	0.157	-0.194	-0.243	-0.015	-0.529	-0.357	-0.056	-0.303	0.052	-0.05	-0.623	0.036	0.014	-0.012
YNL229C	URE2	1	regulation of nitrogen utilization	-0.073	-1.283				0.15			-0.175			-1.176	-0.304				0.182		0.238	0.095		0.165		-0.211	-0.027	-0.355	-0.566	0.959	0.108	-1.129	-0.159		-0.887	-0.743		0.606	0.13	1.649	-0.12	0	-0.082	-1.209	0.075	-0.25	0.175	-0.257		-1.097	-0.357	0.354	0.499
YNR031C	SSK2	1	protein amino acid phosphorylation*	-0.785	0.093	-0.23	-0.071	-0.051	0.271	0.158	0.255	0.079	0.161	-0.297	-0.029	-0.417	0.058	-0.04	0.075	-0.201	0.055	0.085	0.095	0.004	0.079	-0.087	-0.144	-0.151	-0.387	-0.126	-0.202	-0.27	-0.097	0.088	0.023	0.06	0.075	-0.053	0.07	-0.05	-0.093	0.045	-0.049	-0.169	-0.02	-0.358	-0.203	0.137	0.179	-0.15	0.029	-0.159	-0.034	-0.053
YPR172W	YPR172W	1	unknown function	0.013	0.027	-0.154	-0.104	0.064	0.143	0.023	0.069	0.103	0.093	0.083	-0.005	-0.013	0.181	-0.049	0.112	-0.109	0.058	0.033	0.095	0.133	0.017	-0.072	-0.09	0.047	0.127	-0.05	0.096	0.007	-0.146	0.036	0.028	0.004	0.111	0.013	-0.048	0.006	0.274	-0.048	-0.064	0.029	-0.131	-0.075	0.064	-0.153	0.09	-0.05	-0.12	0.018	-0.017	-0.001
YDR239C	YDR239C	1	unknown function	0.125	0.014	-0.23	-0.05	-0.039	0.059	0.048	0.316	-0.073	0.077	0.137	0.149	0.169	0.065	-0.019	-0.032	0.087	-0.023	0.019	0.096	-0.049	0.055	-0.019	0.022	0.12	0.149	0.092	-0.146	0.025	-0.09	0.065	-0.072	-0.136	-0.118	0.019	0.229	0.189	0.144	-0.023	-0.061	-0.058	0.008	-0.239	-0.255	-0.116	-0.031	-0.057	-0.161	0.037	0.039	0.029
YDR351W	SBE2	1	cell wall organization and biogenesis	0.087	0.054	-0.175	-0.046	-0.042	-0.063	0.15	-0.324	-0.253	0.154	-0.134	0.248	0.383	0.129	-0.021	0.077	0.094	-0.036	-0.015	0.096	0.097	0.017	-0.104	0.129	0.009	0.18	-0.027	-0.01	-0.111	-0.158	0.076	-0.049	0.025	-0.054	0.025	-0.392	0.119	0.009	-0.114	-0.182	0.008	-0.176	-0.033	-0.004	-0.215	0.095	0.036	-0.151	-0.1	0.031	-0.019
YFL055W	AGP3	1	amino acid transport	-0.259	0.087	-0.193	-0.047	-0.192	-0.061	-0.058	-0.015	-0.096	0.026	0.078	-0.119	-0.165	0.095	-0.088	-0.035	-0.134	0.028	0.038	0.096	0.104	0.009	-0.02	-0.216	-0.152	-0.342	-0.028	0.003	-0.057	-0.047	0.022	0.007	-0.564	0.046	-0.038	-0.06	-0.125	-0.146	-0.018	-0.069	0.141	-0.051	-0.695	-0.819	-0.177	-0.12	-0.074	-0.086	0.123	-0.096	-0.101
YGL152C	YGL152C	1	unknown function	-0.005	-0.296	-0.006	-0.091		-0.206	0.081	-0.24	-0.287	-0.076	0.232	-0.18	-0.405	0.161	-0.049	0.151	-0.007	-0.008	-0.035	0.096	-0.021	0.007	-0.152	0.162	0.319	0.052	0.071	-0.19	0.004	-0.191	0.119	0.022	-0.248	0.009	-0.009	0.028	0.17	0.33	-0.096	-0.135	0.025	-0.213	-0.509	-0.493	-0.212	-0.203	0.113	-0.312	0.267	0.016	-0.008
YGR136W	LSB1	1	unknown function	-0.032	0.02	-0.13	-0.108	-0.088	-0.182	0.193	0.13	-0.103	0.254	0.127	0.224	0.043	0.15	-0.049	0.167	0.054	0.071	-0.004	0.096	0.114	-0.025	-0.201	-0.067	0.019	-0.027	-0.066	-0.01	-0.02	-0.119	0.203	0.01	-0.309	-0.03	0.062	-0.176	0.248	0.297	-0.029	0.088	-0.147	-0.12	-0.393	-0.361	-0.034	0.126	-0.002	-0.077	0.136	-0.01	-0.03
YIL038C	NOT3	1	regulation of transcription from Pol II promoter*	0.871	-0.447	-0.393	-0.202	0.056	-0.081	0.138	0.076	-0.072	0.186	0.157	-0.026	0.007	-0.194	0.298	-0.16	0.237	0.14	0.406	0.096	0.112	0.083	0.146	0.211	0.294	0.661	0.091	0.746	0.39	0.04	-0.035	0.04	-0.569	-0.376	0.06	0.75	-0.017	0.519	-0.224	-0.166	0.613	0.028	-0.077	-1.202	0.035	-0.237	0.344	0.067	-0.046	0.303	0.309
YKL020C	SPT23	1	positive regulation of transcription from Pol II promoter*	0.169	0.122	-0.279	0.034	0.027	-0.165	0.137	0.131	-0.088	0.131	0.043	0.184	-0.103	0.082	-0.003	0.185	0.009	0.032	0.073	0.096	-0.016	-0.076	0.02	0.186	0.007	0.231	0.037	-0.051	-0.041	-0.007	0.138	-0.085	-0.62	-0.018	-0.015	0.134	0.108	-0.002	-0.094	-0.352	0.06	-0.065	-0.716	-0.971	-0.15	0.024	-0.082	-0.017	0.078	-0.019	-0.025
YKL102C	YKL102C	1	unknown function	0.133	0.052	-0.122	-0.091	0.226	0.075	0.112	0.07	-0.017	0.075	-0.055	-0.021	-0.079	0.083	-0.045	-0.056	0.033	0.024	0.022	0.096	-0.054	0.086	-0.038	0.06	0.113	0.288	0.086	-0.082	-0.047	-0.153	0.128	-0.001	0.058	-0.019	0.024	0.12	-0.032	0.04	-0.118	-0.174	0.072	-0.187	-0.026	0.013	-0.268	0.078	0.085	-0.206	0.171	0.011	-0.024
YKR077W	YKR077W	1	unknown function	-0.143	0.044	-0.014	-0.185	0.139	-0.025	-0.133	-0.146	0.006	0.051	-0.119	0.127	0.49	0.041	-0.039	-0.583	0.109	-0.007	-0.029	0.096	0.084	0.002	-0.02	-0.056	0.468	-0.094	-0.138	-0.257	0.039	-0.756	-0.062	-0.079	0.001	0.238	-0.025	-0.047	0.181	0.479	-0.673	-0.252	-0.116	-0.753	-0.384	0.123	-0.752	-0.083	-0.052	-0.829	-0.03	-0.02	-0.021
YKR098C	UBP11	1	unknown function	0.129	0.052	-0.035	-0.027	-0.014	0.018	0.009	-0.094	0.021	-0.042	0.079	-0.172	-0.175	0.173	-0.058	0.246	-0.07	0.095	0.058	0.096	0.035	-0.012	-0.012	0.002	0.087	0.081	-0.152	-0.045	-0.052	-0.059	0.004	0.024	-0.105	0.123	0.089	-0.154	-0.097	-0.127	-0.055	0.04	-0.038	-0.08	-0.24	0.033	-0.089	0.011	-0.022	-0.114	-0.16	-0.027	0.018
YLR138W	NHA1	1	monovalent inorganic cation homeostasis	-0.198	-0.139	0.006	-0.07	-0.027	0.011	-0.251	0.017	-0.107	-0.059	-0.017	-0.164	-0.423	0.059	0.045	-0.074	-0.028	0.098	0.083	0.096	-0.093	0.008	0.108	-0.05	0.299	-0.562	-0.06	-0.01	-0.113	-0.66	0.354	-0.068	-0.067	-0.046	0.086	-0.294	-0.184	0.015	-0.542	-0.322	-0.026	-0.558	-0.246	0.234	-0.655	0.243	0.006	-0.727	0.193	0	-0.062
YLR460C	YLR460C	1	unknown function	0.233	0.044	-0.047	-0.05	0.057	0.089	0.026	0	0.015	0.052	-0.001	-0.087	-0.077	0.176	-0.027	0.175	-0.108	0.074	-0.006	0.096	0.084	0.124	-0.071	-0.212	0.08	0.039	-0.011	-0.126	0.037	-0.201	0.023	0.037	-0.047	0.087	0.033	0.116	-0.129	-0.052	-0.279	-0.163	0.024	-0.336	-0.166	0.037	-0.266	-0.024	-0.038	-0.363	-0.076	0.018	-0.014
YML076C	WAR1	1	response to acid	0.038	0.035	-0.051	0.004	0.011	0.008	-0.05	-0.009	-0.023	0.019	0.132	0.125	0.133	0.131	-0.043	0.214	-0.141	0.047	-0.018	0.096	0.096	0.007	-0.057	-0.003	0.028	0.038	-0.085	-0.006	0.021	-0.079	0.017	-0.025	0.157	0.143	0.016	-0.126	0.114	-0.019	0.094	0.052	0.052	-0.066	-0.124	-0.003	-0.095	0.04	-0.043	-0.105	0.065	-0.024	-0.01
YMR191W	SPG5	1	unknown function	-0.128	0.038	0.056	-0.028	0.148	0.075	-0.206	-0.117	-0.142	-0.106	0.155	0.138	0.084	0.169	-0.051	0.087	0.047	0.021	0.032	0.096	-0.005	0.084	-0.046	-0.172	-0.153	-0.397	-0.045	-0.187	0.059	-0.092	0.11	0.067	0.057	0.052	0.043	-0.225	0.055	-0.003	-0.005	-0.116	0.128	-0.105	0.007	0.019	-0.076	0.095	-0.043	-0.111	-0.006	0.011	-0.032
YPL232W	SSO1	1	vesicle fusion*	-0.272	0.054	-0.042	-0.062	-0.06	0.081	-0.194	-0.302	-0.087	-0.09	0.026	0.214	0.22	-0.387	0.007	-0.1	-0.086	0.048	0.08	0.096	-0.012	0.025	0.066	0.172	0.095	-0.263	-0.009	-0.142	0.014	-0.092	-0.16	-0.005	0.305	0.106	-0.007	-0.096	0.23	0.376	-0.168	-0.24	0.095	-0.057	0.122	0.213	-0.058	-0.083	0.012	-0.026	-0.182	-0.003	0
YBL028C	YBL028C	1	unknown function	-0.832	0.095	0.046	-0.062	0.039	-0.127	-0.034	-0.124	-0.277	0.043	0.06	0.115	0.215	0.034	-0.131	-0.126	-0.014	0.078	0.02	0.097	0.01	0.034	-0.014	0.097	0.159	-0.781	0.047	-0.223	0.054	-0.308	-0.01	0.017	0.092	0.032	-0.001	-0.121	0.11	0.111	-0.256	-0.367	0.122	-0.361	0.009	0.051	-0.312	-0.091	-0.046	-0.264	0.082	0.041	0.018
YCR049C	YCR049C	1	unknown function	-0.342	0.002	-0.161	-0.061	-0.449	0.102	0.089	0.014	-0.48	0.028	-0.301	-0.135	0.008	0.005	-0.149	0.271	-0.643	-0.012	0.079	0.097	0.131	0.025	-0.132	-0.168	-0.398	-0.122	-0.121	0.368	-0.052	-0.018	0.236	0.057	0.051	0.247	0.04	0.036	-0.126	-0.289	0.028	-0.036	-0.023	0.051	-0.091	0.177	0.101	0.28	-0.093	0.032	-0.198	-0.063	0.005
YDL230W	PTP1	1	protein amino acid dephosphorylation	-0.087	0.071	0.013	-0.001	0.028	0.123	-0.009	-0.057	0.144	-0.084	0.091	-0.227	-0.596	0.006	-0.009	0.187	-0.059	0.074	0.196	0.097	0.072	0.022	0.076	-0.019	0.128	0.04	-0.155	-0.027	-0.092	-0.056	0.224	-0.013	-0.003	0.099	0.042	0.27	0.005	0.008	-0.138	-0.119	0.314	-0.172	-0.091	0.069	-0.231	-0.118	-0.031	-0.208	0.009	0.004	0.04
YGL028C	SCW11	1	"cytokinesis, completion of separation"	0.086	0.037	-0.084	-0.052	0.174	-0.067	0.076	-0.093	-0.103	0.056	0.005	0.189	0.081	0.234	-0.16	-0.047	-0.041	-0.011	0.041	0.097	0.153	0.082	-0.033	-0.01	0.089	0.125	0.001	0.053	0.056	-0.281	0.213	0.088	-0.097	-0.037	0.123	0.003	0.209	0.211	-0.259	-0.444	0.04	-0.303	-0.21	-0.241	-0.296	-0.021	0.155	-0.258	0.127	0.008	-0.006
YGL177W	YGL177W	1	unknown function	-0.261	0.061	-0.223	-0.042	-0.056	-0.092	0.268	0.201	-0.019	0.235	0.142	0.192	0.337	-0.096	-0.053	-0.062	0.052	0.068	0.005	0.097	0.047	0.026	-0.011	0.078	0.28	-0.106	-0.002	-0.067	-0.02	-0.346	-0.167	0	-0.129	0.043	0.062	-0.087	0.183	0.197	-0.259	-0.299	0.089	-0.34	-0.21	-0.377	-0.43	-0.075	0.059	-0.372	-0.027	-0.029	-0.054
YGR247W	CPD1	1	meiosis*	-0.046	0.028	-0.029	-0.055	0.171	0.023	-0.055	-0.024	0.014	-0.018	0.029	0.21	0.112	0.148	-0.009	0.029	-0.084	0.04	0.025	0.097	0.072	-0.044	-0.079	0.193	0.177	-0.063	-0.157	0.025	0.028	-0.066	-0.022	-0.038	0.33	0.103	0.03	-0.273	0.104	0.045	0.041	0.044	0.055	-0.055	0.112	0.195	-0.15	-0.013	-0.063	-0.057	-0.143	-0.019	-0.023
YIL018W	RPL2B	1	protein biosynthesis	0.498	-0.251	-0.043	-0.032	-0.138	-0.188	0.306	-0.146	-0.1	0.103	0.486	0.283	0.696	-0.245	0.186	-0.066	-0.255	0.119	0.121	0.097	0.253	0.017	0.227	0.288	0.586	0.451	0.107	0.447	0.005	-0.177	0.321	-0.004	0.311	0.497	0.127	0.17	0.197	0.456	-0.181	-0.139	0.204	-0.272	0.066	-0.762	-0.14	0.162	0.028	-0.144	0.013	0.062	0.072
YKL051W	SFK1	1	actin cytoskeleton organization and biogenesis*	0.128	0.013	0.112	-0.082	0.077	-0.071	-0.095	-0.247	-0.161	-0.102	0.113	0.177	0.077	0.215	-0.138	0.073	0.008	0.016	0.073	0.097	-0.046	0.068	-0.096	-0.047	-0.026	0.077	0.054	-0.064	-0.062	-0.212	0.046	-0.04	0.179	0.094	0.009	0.008	0.104	0.137	-0.174	-0.254	0.158	-0.289	-0.053	0.061	-0.365	0.11	0.019	-0.246	0.118	-0.034	-0.025
YKR027W	FMP50	1	unknown function	0.258	-0.448	0.001	-0.048	0.085	0.05	0.261	-0.044	0.217	0.024	0.293	0.066	0.214	0.164	0.067	-0.05	0.12	0.069	0.11	0.097	0.148	0.13	0.086	-0.074	0.181	0.275	-0.044	0.382	0.051	-0.343	0.256	0.061	0.112	0.53	0.122	0.083	0.008	0.361	-0.178	-0.123	0.374	-0.204	-0.11	0.25	-0.329	0.101	0.376	-0.283	-0.119	0.063	0.079
YKR065C	FMP18	1	unknown function	0.45	0.001	0.076	0.052	0.245	0.154	-0.24	-0.019	0.251	-0.246	0.199	-0.026	0.099	0.111	0.097	0.213	0.028	-0.029	0.058	0.097	0.03	0.02	-0.067	-0.002	0.109	0.366	0.061	0.057	0.055	0.028	-0.111	0.002	0.113	-0.01	0.028	0.142	-0.02	-0.011	0.067	-0.017	0.093	0.007	0.069	0.175	-0.072	0.006	0.086	0.028	-0.099	0.027	0.067
YLR219W	MSC3	1	meiotic recombination	-0.261	-0.064	0.038	-0.075	0.155	-0.046	-0.138	-0.144	-0.048	-0.101	0.071	-0.092	0.079	0.164	0.005	0.151	-0.07	0.091	0.068	0.097	0.083	0.013	-0.059	-0.163	-0.087	0.06	-0.041	0.109	0.084	-0.239	0.069	-0.003	-0.131	-0.004	0.079	-0.249	-0.07	0.1	-0.176	-0.084	0.222	-0.223	-0.101	0.057	-0.315	0.059	-0.01	-0.247	0.153	-0.005	-0.054
YLR247C	YLR247C	1	unknown function	-0.242	-0.005	0.063	-0.094	0.058	0.052	-0.162	0.043	-0.047	-0.041	0.055	0.045	-0.064	0.13	-0.101	0.014	-0.116	0.113	-0.018	0.097	0.113	0.085	-0.032	0.034	0.167	0.013	0.119	-0.007	0.032	-0.415	0.262	0.087	-0.078	-0.079	0.116	-0.076	0.035	0.007	-0.283	-0.361	0.004	-0.438	-0.355	-0.247	-0.487	0.198	-0.067	-0.463	0.275	0.013	-0.033
YLR454W	FMP27	1	unknown function	0.029	0.011	-0.179	-0.014	0.17	0.188	0.036	0.155	0.061	0.032	0.166	-0.029	-0.081	0.108	-0.012	0.166	-0.032	0.078	0.015	0.097	0.072	-0.053	-0.032	-0.138	0.015	0.084	-0.116	0.051	0.024	-0.082	-0.023	0.042	0.011	0.066	0.046	-0.102	-0.154	-0.247	-0.295	-0.342	0.078	-0.174	-0.036	0.029	-0.168	-0.017	-0.014	-0.188	-0.048	-0.019	-0.018
YNR072W	HXT17	1	hexose transport	0.136	0.051	-0.132	-0.101	-0.031	0.008	-0.154	-0.072	-0.053	-0.101	0.076	-0.221	-0.161	0.008	-0.061	0.17	0.026	0.059	-0.04	0.097	-0.006	0.111	-0.023	-0.139	0.106	0.05	-0.084	-0.208	-0.046	-0.317	0.009	-0.052	-0.271	-0.046	0.013	-0.29	-0.205	-0.113	-0.371	-0.256	0.111	-0.426	-0.421	-0.267	-0.378	-0.047	-0.009	-0.543	0.124	-0.004	-0.007
YOL129W	VPS68	1	protein-vacuolar targeting	-0.632	0.103	0.027	0.03	-0.121	-0.045	0.078	0.161	0.056	0.109	-0.578	0.122	0.207	-0.035	-0.008	0.202	-0.101	0.061	0.074	0.097	0.085	-0.032	-0.027	0.121	0.1	-0.453	-0.113	-0.06	0.006	-0.045	0.113	0.043	-0.125	-0.022	0.026	-0.216	0.06	0.019	-0.073	-0.099	0.016	-0.066	-0.336	-0.248	-0.019	-0.034	-0.181	-0.061	-0.047	0.007	-0.024
YOR112W	YOR112W	1	unknown function	-0.164	0.198	0.192	-0.089	0.042	-0.283	0.017	-0.182	-0.254	0.044	-0.054	0.551	0.167	-0.057	-0.09	0.028	0.025	-0.001	0.028	0.097	0.027	-0.002	0.074	0.602	0.229	-0.107	-0.038	-0.193	0.072	0.555	0.08	0.056	-0.15	-0.148	-0.036	-0.176	0.455	0.257	-0.169	-0.586	0.275	0.432	-0.02	-0.547	0.439	-0.035	-0.257	0.47	0.116	0.099	0.096
YCR102W-A	YCR102W-A	1	unknown function	0.185	0.09	0.048	-0.076	0.037	0.039	-0.054	-0.211	-0.012	-0.029	0.036	0.005	0.01	0.112	-0.067	0.208	0.014	-0.009	-0.058	0.098	-0.024	0.009	-0.12	-0.024	0.047	0.187	-0.111	-0.083	0.022	-0.069	0.082	-0.009	0.119	0.092	0.006	-0.26	0.057	0.038	-0.132	-0.157	-0.017	-0.183	-0.074	0.099	-0.332	0.067	0.079	-0.238	0.052	-0.006	-0.003
YGR178C	PBP1	1	mRNA polyadenylation	-0.269	0.171	-0.34	-0.015	0.093	0.159	-0.121	-0.018	-0.106	0.019	-1.342	-0.138	-0.153	0.129	-0.042	-0.02	-0.25	0.019	-0.025	0.098	-0.002	-0.021	-1.248	-0.326	-0.208	0.17	0.06	0.086	0.103	-0.229	0.006	-0.002	-0.141	-0.099	-0.1	0.151	0.026	-0.121	0.115	0.204	0.07	-0.132	-0.142	0.003	0.125	0.087	-0.114	-0.286	0.177	-0.054	0.045
YKL066W	YKL066W	1	unknown function	0.059	0.062	0.125	-0.112	0.198	-0.028	-0.016	-0.116	-0.046	-0.055	0.114	0.118	-0.038	0.249	-0.016	0.092	-0.067	0.002	0.037	0.098	0.067	-0.041	-0.155	0.107	0.024	0.081	0.091	0.04	0.016	-0.165	-0.022	-0.033	0.295	0.019	0.032	0	-0.04	-0.041	-0.116	-0.304	0.08	-0.192	0.206	0.192	-0.45	-0.07	-0.036	-0.12	-0.021	-0.044	-0.071
